,"Name","Directory","Hud_image","Cockpit","CockpitX","CockpitY","CockpitZ","Unit_Scale","Mesh","Shield_Mesh","Rapid_Mesh","BSP_Mesh","Use_BSP","Use_Rapid","Sound","Light","Explosion","Textual_Description"
"MiningBase__pirates","MiningBase","./factions/pirates/MiningBase","MiningBase-hud.spr",,,,,300,"{MiningBase.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"MiningBase__privateer","MiningBase","./factions/rlaan/MiningBase","MiningBase3-hud.spr",,,,,3,"{MiningBase.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"MiningBase__rlaan","MiningBase__rlaan","./installations/Rlaan_Mining_Base","rlaan_mining_base-hud.sprite",,,,,170,"{rlaan_mining_base.bfxm;;}",,,,,,";;;;;;",,,"Rlaan Mining Base"
"Outpost","Outpost","./installations/Outpost","outpost-hud.spr",,,,,2,"{outpost.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Refinery","Refinery","./installations/Refinery","refinery-hud.spr",,,,,200,"{refinery.bfxm;;}",,,,,,,,,"WRITEME"
"Refinery__aera","Refinery__aera","./factions/aera/refinery",,,,,,40,"{refinery.bfxm;;}",,,,,,,,,"WRITEME"
"Refinery__pirates","Refinery","./factions/pirates/refinery","refinery-hud.spr",,,,,400,"{refinery.bfxm;;}",,,,,,,,,"WRITEME"
"Refinery__rlaan","Refinery","./factions/rlaan/refinery","refinery-hud.spr",,,,,400,"{star4.bfxm;;}",,,,,,,,,"WRITEME"
"Refinery__uln","Uln_Refinery","./installations/Uln_Refinery","uln_refinery-hud.sprite",,,,,48,"{uln_refinery.bfxm;;}",,,,,,";;;;;;",,,"Uln refinery"
"Relay","Relay","./installations/Relay","relay-hud.spr",,,,,0.23,"{relay.bfxm;;}",,,,,,,,,"WRITEME"
"Relaysat","Relay Satellite","./installations/Relaysat","relaysat-hud.spr",,,,,2,"{relaysat.bfxm;;}",,,,,,,,,"Dupe of Relay station for testing"
"Research","Research","./installations/Research","research-hud.spr",,,,,2,"{research.bfxm;;}",,,,,,,,,"WRITEME"
"Research__aera","Research__aera","./factions/aera/research","research-hud.spr",,,,,150,"{research.bfxm;;}",,,,,,,,,"WRITEME"
"Shaper_Bio_Adaptation","Shaper_Bio_Adaptation","./installations/Shaper_Bio_Adaptation","shaper_bio_adaptation-hud.sprite",,,,,100,"{shaper_bio_adaptation.bfxm;;}",,,,,,";;;;;;",,,"Shaper bio-adaptation station"
"Shipyard","Shipyard","./installations/Shipyard","Shipyard-hud.spr",,,,,2,"{Shipyard.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Shipyard__aera","Shipyard","./installations/Shipyard","Shipyard-hud.spr",,,,,2,"{Shipyard.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Shipyard__forsaken","Shipyard__forsaken","./factions/forsaken/shipyard","Shipyard-hud.spr",,,,,24,"{forsakenyard.bfxm;;}",,,,,,";;;;;;",,,"Factional variant of Shipyard"
"Shipyard__rlaan","Shipyard","./installations/Shipyard","Shipyard-hud.spr",,,,,2,"{Shipyard.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Starfortress","Starfortress","./installations/Starfortress","starfortress-hud.spr",,,,,3,"{starfortress.bfxm;;}",,,,,,,,,"Star fortress"
"Starfortress__aera","Starfortress__aera","./factions/aera/starfortress","aerastarfortress-hud.spr",,,,,3,"{starfortress.bfxm;;}",,,,,,,,,"WRITEME"
"Starfortress__rlaan","Starfortress__rlaan","./installations/Rlaan_Star_Fortress","rlaan_star_fortress-hud.sprite",,,,,66,"{rlaan_star_fortress.bfxm;;}",,,,,,";;;;;;",,,"Rlaan star fortress"
"Shipyard__forsaken.armature","Forsaken Shipyard Armature","./factions/forsaken/shipyard",,,,,,24,"{forsakenyardarm.bfxm;;}",,,,,,";;;;;;",,,"Destroyable Eye-Candy -- contains dock and weapons"
