"file","categoryname","price","mass","volume","description"
"Ktek_Mini_Grav-thumper","upgrades/Weapons/Accelerators/Rlaan",200000,0.01,1,"@upgrades/beam3.image@What Rlaan do to the erstwhile laws of physics in their own homes is their own business. When they do it on the business end of this space-disrupting weapon, its everyone else's business to not be in the way. This miniature version of the Janissary class main weapon is used in lieu of torpedos by Rlaan assault craft."
"Ktek_Mini_Grav-thumper_ammo","upgrades/Weapons/Ammunition/Rlaan",60000,0.01,1,"@upgrades/maul.image@Unlike the larger version of the same device that the Janissary class is built around, the 'mini' version of the grav-thumper renders portions of the device used to generate the distortion damaged and inoperable. Fortunately, the relevant portions are both modular and easily ejected, leading to an ammunition-like solution to the problem."
"Disruptor","upgrades/Weapons/Accelerators",60000,0.01,1,"@upgrades/beam1.image@A pulsed form of the shield-based disruptor beam technology, designs such as this have faded in popularity since the introduction of reliable shield decoupling mechanisms for the beam forms of disruptors. However, the significant time and investment already sunk into such designs, and the continued utility of the extremely high-end pulsed disruptor devices keeps the market stocked with current revisions of this aging weaponry."
"Pugilist","upgrades/Weapons/Accelerators",75000,0.01,1,"@upgrades/beam1.image@The lightest and smallest of the disruptors manufactured by groups in Unadorned space, it can only provide body blows, but can keep on swinging with remarkable stamina."
"Dissonance","upgrades/Weapons/Accelerators",500000,0.01,1,"@upgrades/beam1.image@A standard weapon on light Unadorned craft, the Dissonance is larger, weaker, and slower than the Rlaan Ktek gun, but has a significantly longer effective range."
"LR_Disruptor","upgrades/Weapons/Accelerators",400000,0.01,1,"@upgrades/beam1.image@Sacrificing efficiency and stopping power, this long ranged variant of the ubiquitous disruptor gun makes an effective fly-swatter. Primarily found in turret mounts on ships large enough to afford the energy demands, the low damage output tends to relegate this weapon to a deterrent role rather than the spearpoint of more aggressive actions."
,,,,,
"Micro_Driver","upgrades/Weapons/Accelerators",10000,0.01,1,"@upgrades/accelerator_gun.image@Long before the dawn of modern man, it was known to various hominids that hurling a blunt object was a reasonable way to deliver damage from a distance. Fittingly enough, the worlds of the Purist faction are among the chief manufacturers of mass drivers."
"Mini_Driver","upgrades/Weapons/Accelerators",15000,0.01,1,"@upgrades/accelerator_gun.image@Long before the dawn of modern man, it was known to various hominids that hurling a blunt object was a reasonable way to deliver damage from a distance. Fittingly enough, the worlds of the Purist faction are among the chief manufacturers of mass drivers."
"Micro_Driver_ammo","upgrades/Weapons/Ammunition",200,8,1,"@upgrades/accelerator_gun.image@Very small, very dense, somewhat cheap, magnetically reactive."
"Mini_Driver_ammo","upgrades/Weapons/Ammunition",150,8,1,"@upgrades/accelerator_gun.image@Small, dense, cheap, magnetically reactive."
"Hephaestus_Mini","upgrades/Weapons/Accelerators",110000,0.01,0.1,"@upgrades/accelerator_gun.image@A scaled down version of the electromagnetic accelerator used in the Hephaestus point defense emplacements, this Andolian death-dealer is special less in its ability to fling its projectiles rapidly and at high velocity than its compatibility with a very particular projectile of Andolian manufacture."
"Hephaestus_Mini_ammo","upgrades/Weapons/Ammunition",500,0.01,0.1,"@upgrades/swarm.image@The ammunition for the Hephaestus mini-driver is by far one of the smallest and most advanced shield-piercing rounds developed to date."
,,,,,
"laser","upgrades/Weapons/Accelerators",3500,0.01,1,"@upgrades/light.image@Though not a laser by any stretch of the imagination, due to its resemblance to the so called 'lasers' of classic games and movies of the previous millenium, the misnomer has stuck stronger than space rated epoxy. Cheap and utterly dependable, this and other similar low yield exhaust-compression weapons are ubiquitous in armed civilian populations."
,,,,,
"Arc_Device","upgrades/Weapons/Accelerators",6000,0.01,1,"@upgrades/beam3.image@The trick, as many an unfortunate pirate has learned by experience, is to keep sufficient distance that the disabled enemy vessel is not accidently welded to your own ship. When used on security drones, the welding failure-mode is seen as more of a bonus."
"leech_gun","upgrades/Weapons/Accelerators",66000,0.01,1,"@upgrades/beam2.image@Like the Crippler, the leech gun relies on sophisticated projectiles housing single-shot laser warheads and minimal targeting systems to do the dirty work of rendering a target vessel disabled. Unlike the Crippler, the leech gun has a reputation for being sufficiently underpowered that it's dangerous to not pack more lethal weaponry as well."
"crippler","upgrades/Weapons/Accelerators",120000,0.01,1,"@upgrades/beam2.image@Originally designed for IntelSec and Homeland Security forces, the Crippler has reached increasingly large customer bases in the many decades since its introduction. Most experts believe this to be due to the fact that competitors looking to enter the less-than-lethal weapons market have tended to underestimate how difficult it is to hit appropriate subsystems to render a craft disabled but intact."
"Plasma_Plume","upgrades/Weapons/Accelerators",500,0.01,1,"@upgrades/light.image@It's a (plasma) flamethrower! ... in space! If you can actually get close enough to hit anything, the ionization can disable all sort and manner of targetted electrical systems, but the plasma plume's range tends to limit its applications to relatively stationary objects. Cheap as vaccuum, flashy as a nova, and unlikely to cause any real harm, this is a favored weapon of rent-a-cops and parking enforcement officials everywhere. "
,,,,,
"Photon_MK_I","upgrades/Weapons/Accelerators/Aera",400000,0.01,1,"@upgrades/beam3.image@The oldest active armament of what would come to be a long series of Aeran PESC (Photon Emission on Shield Collapse) weapons, the gun itself is a non-descript warhead accelerator designed around the MK I PESC ammunition."
"Photon_MK_II","upgrades/Weapons/Accelerators/Aera",600000,0.01,1,"@upgrades/beam2.image@A significant improvement with respect to the MK I in both accelerator and warhead, the MK II is a briusing weapon with solid shield penetration still heavily in service across the entire Aeran fleet."
"Photon_MK_III","upgrades/Weapons/Accelerators/Aera",400000,0.01,1,"@upgrades/medium.image@A refinement, rather than an improvement over the MK II, the MK III is a smaller weapon based around a much smaller warhead and a faster rate of fire, extending the PESC weaponry to lighter Aeran craft and emplacements."
"razor_gun","upgrades/Weapons/Accelerators",400000,0.01,1,"@upgrades/razor_gun.image@Sadly enough for their former marketing exectutives, 'Ring around the targets, pocket-size the fuzies, deuterium-deuterium, they all go boom!' did not in fact make for a good advertising campaign."
"reaper_cannon","upgrades/Weapons/Accelerators",800000,0.01,1,"@upgrades/beam3.image@The grimmest part of this Reaper is probably the 37 page manual on the appropriate handling of the anti-matter filled rounds. The gun itself, after all, is a rather sporty number."
"Photon_MK_I_ammo","upgrades/Weapons/Ammunition/Aera",4000,5,1,"@upgrades/beam3.image@Aeran PESC (Photon Emission on Shield Collapse) Warhead. Essentially consisting of a faulty shield generator in miniature, on contact with any shield or object, the warhead's shield will collapse through the warhead itself, emitting a large number of high-energy photons in the process, thus lending notable shield-penetrating damage. While the root principle has been known to all of the major space-faring groups for some time, only the Aera have pursured significant weaponization."
"Photon_MK_II_ammo","upgrades/Weapons/Ammunition/Aera",5000,5,1,"@upgrades/beam2.image@Aeran PESC (Photon Emission on Shield Collapse) Warhead. Essentially consisting of a faulty shield generator in miniature, on contact with any shield or object, the warhead's shield will collapse through the warhead itself, emitting a large number of high-energy photons in the process, thus lending notable shield-penetrating damage. While the root principle has been known to all of the major space-faring groups for some time, only the Aera have pursured significant weaponization."
"Photon_MK_III_ammo","upgrades/Weapons/Ammunition/Aera",6000,5,1,"@upgrades/medium.image@Aeran PESC (Photon Emission on Shield Collapse) Warhead. Essentially consisting of a faulty shield generator in miniature, on contact with any shield or object, the warhead's shield will collapse through the warhead itself, emitting a large number of high-energy photons in the process, thus lending notable shield-penetrating damage. While the root principle has been known to all of the major space-faring groups for some time, only the Aera have pursured significant weaponization."
"razor_gun_ammo","upgrades/Weapons/Ammunition",4000,5,1,"@upgrades/razor_gun.image@Each Razor round is a miniature fusion device, and a real pain to get through customs."
"reaper_cannon_ammo","upgrades/Weapons/Ammunition",6000,5,1,"@upgrades/beam3.image@Keeping an anti-matter containment unit intact when being hurled out of a gun at several kilometers per second is no trivial matter, as the pricetag will verify."
,,,,,
"hellspawn","upgrades/Weapons/Accelerators/Rlaan",45000,0.01,1,"@missile-hud.image@Echewing strong AI, the Rlaan rely on an engineered species derived from something akin to a hunting dog to pilot their drones. Most other species find the idea of giving disembodied pet brains firing control over energy weapons to be mildly disconcerting. The Hellspawn model is one of the smaller Rlaan drones, consisting of little more than two turrets, sensors, and a drive system. Survivability is not a priority, as evidenced by the sizeable self-destruct package."
"stormfire","upgrades/Weapons/Accelerators",2000,0.01,1,"@upgrades/swarm.image@While individually fairly worthless, the PC-031 ""Stormfire"" rounds were designed as a low-yield, low-overhead projectiles that could be rapidly emmitted in high numbers by fighters with multiple weapon mountpoints, or as point defense on capital ships. Surplus Stormfires have seen additional use among merchants as cheap, reliable alternatives to energy weapons. "
"antimatter_gun","upgrades/Weapons/Accelerators",720000,0.01,1,"@upgrades/medium.image@As may be expected of a device created to sling anti-matter, any error during the firing process will not merely slag the gun, but may evapourate it and a large portion of the vessel on which it is mounted; thus, every aspect of the process is perfectly controlled and subject to significant redundancy. Needless to say, such engineering does not come cheap."
"tractor_beam","upgrades/Weapons/Accelerators",7500,0.01,1,"@cargo/tractor_beam.image@Gravitic technology can be used in a wide variety of ways: arguably, the most popular is keeping your soup in its bowl. A tractor beam, on the other hand, is good at putting somebody else's soup in your bowl. "
"repulsor_beam","upgrades/Weapons/Accelerators",50000,0.01,1,"@cargo/repulsor_beam.image@Repulsor beams, relatively new items on the market, have seen considerable use in large-scale construction projects ever since it was discovered how to keep them from mangling the point of contact; some creative combatants have found different uses for them."
"tractor_heavy","upgrades/Weapons/Accelerators",27500,0.01,1,"@cargo/tractor_heavy.image@Animal magnetism is overrated.  This is just over-engineered. Capable of producing a g-forces that would turn people, elephants, and any appropriately hued fruits into raspberry colored toast topping, heavy tractor beams are rarely seen outside of deepspace construction yards and piracy organizations."
