Additional remarks (names LTT LFT wolf ross etc),Distance in Parsecs,right ascension in rads,declination in rads,Luminosity in ('Sol's),Spectrum type,Size
,16.29688279,0.142535222,-0.037204602,0.660680006,51,0
,15.63567177,0.145153216,0.178139939,0.000158421,72,0
,250.0006667,0.14529866,-0.832958386,3.404286595,46,0
,172.4147598,0.145880437,0.789616042,0.005344271,72,1
,217.392071,0.147553044,0.150098316,0.293747301,55,1
,303.030853,0.149371095,-0.84814275,1.541733213,53,0
,303.030853,0.146898545,-0.848200928,0.359731282,60,0
ADS 520,13.88164948,0.151770923,-0.435605092,0.53949428,57,0
,13.88164948,0.151770923,-0.435605092,0.457070624,58,0
,161.2913559,0.152425421,-0.363581172,0.000349808,37,1
,227.2734606,0.154752527,0.908618409,0.028835295,70,1
,204.0824493,0.156206968,0.893434044,0.003310383,72,0
,12.59187613,0.158025019,0.529561984,0.005198618,74,1
Wolf 10,256.4109064,0.159988515,1.052113562,0.004206137,72,0
,10.53111385,0.160352125,0.366199166,0.440537137,60,0
,232.5588562,0.163915506,-0.758781892,0.012939197,70.5,1
LTT 357,24.94434045,0.165951723,-0.417599112,1.870739653,53,0
,17.10377099,0.166097167,0.696764526,0.288385548,62,0
,17.64613785,0.166242611,-1.016916089,1.180330241,51,0
,188.6801286,0.166969832,0.543030108,0.000911698,72,0
,23.10190647,0.167842496,0.969704932,0.001147772,72,0
,23.10190647,0.167915218,0.969734021,0.001086062,72,0
,9.937454857,0.170024158,-0.373151394,0.000131768,72,0
BPM 46556,222.2229722,0.170533212,-0.560279779,0.024655912,72,0
,21.8894566,0.173442094,-0.896372015,0.005494005,72,0
BPM 46562,185.1860852,0.174023871,-0.611010682,0.002605392,72,0
FF Andromeda,21.19430939,0.174896535,0.615635805,0.023983937,70,1
,18.2906555,0.178314472,0.586023385,0.093745307,65,1
,19.27647546,0.17860536,0.49192105,0.000501,72,0
,23.64771341,0.179041692,0.412159503,0.01994879,70,1
Beta Ceti,18.35771034,0.179259859,-0.309621409,44.88291889,61,2
LFT 69,99.01158434,0.179259859,-0.70581115,0.000501,74,1
LTT 10255,208.3341333,0.181514242,1.320603379,0.501170239,58,1
LP 465-77,181.8190985,0.181950575,0.215489985,0.002207342,72,0
LTT 10257,123.4581401,0.181950575,0.154519816,0.00041671,72,0
LTT 410,357.1433238,0.183114127,-0.439968416,0.847220519,55,0
,243.9031224,0.183768626,-0.327714656,0.025346714,72,1
B LP 766-10,243.9031224,0.183623182,-0.327627389,0.000151291,72,0
,21.60599074,0.184423124,-0.379085514,3.162456379,42,0
,138.8900889,0.185368511,-0.252403699,0.000346601,72,0
,196.0792814,0.185513955,0.026529005,0.208913555,62,0
LTT 416,204.0824493,0.185586677,-1.11852334,0.879016953,53,0
LTT 421,200.0008333,0.18747745,-0.22424572,1.213400371,50,0
BPM 16228,232.5588562,0.188495559,-0.874409955,0.008089046,73,1
,12.29858945,0.189440946,-0.729867604,0.057008411,65,0
,12.29858945,0.189440946,-0.729867604,0.031327531,67,0
BS  209,20.79803962,0.189440946,-0.805876693,1.819754336,55,2
LTT 442,250.0006667,0.193949713,-0.446629756,0.001379938,73,1
,185.1860852,0.1948951,-0.38781216,0.000519803,72,0
LTT 449,24.57680921,0.196931317,-0.642135721,0.380171348,47,1
L 938-2 ,24.57680921,0.196858595,-0.641873921,0.000346601,72,0
,7.381050628,0.199622033,0.087673706,0.237667265,62,0
Eta Cassiopeia,5.966402084,0.20093103,1.004466073,1.282346236,53,0
,5.966402084,0.20093103,1.004466073,0.030473728,67,0
LTT 17156,232.5588562,0.201149196,0.466875575,0.005494005,74,1
LP 193-584,185.1860852,0.201440085,0.773326303,0.001785933,72,0
,181.8190985,0.202240027,0.290975475,2.704090397,48,0
van Maanen 2,4.369603224,0.202967248,0.089942634,0.000181893,72,0
LTT 464,208.3341333,0.203839912,-0.86542151,0.018876235,72,1
,16.01042142,0.204858021,-0.392931792,0.304771723,59,0
LTT 471,217.392071,0.206385184,-1.059502122,0.005647934,76,1
Phi(2) Ceti,16.19153436,0.207766903,-0.158592251,1.958909325,47,2
LTT 10301,140.8462538,0.208857734,0.428391065,0.001379938,72,0
LP 350-19,140.8462538,0.208857734,0.428391065,0.00079405,72,0
,500.0003333,0.209003178,-0.45884706,0.313310724,33,1
Wolf 33,18.70050843,0.211112117,1.012727298,0.016440402,72,1
,208.3341333,0.212566558,0.322391402,0.075848155,66,1
,476.1908262,0.213511945,-0.459748814,0.135505646,60,1
,14.46240683,0.214093722,-0.398284135,0.047417102,65,0
B LP 826-170,14.46240683,0.214239166,-0.398313224,2.19E-05,72,0
,131.580214,0.218457045,1.06203285,1.78653846,48,0
Sm 177,238.0959381,0.218602489,-0.706567459,0.00839263,73,1
,144.9286862,0.220638706,-0.51263229,0.248868741,63,0
ADS  737,18.77061236,0.22289309,1.200379282,0.041680437,50,1
,18.77061236,0.223038534,1.200379282,0.021873512,72,0
,312.5005333,0.228274522,0.41594105,0.946234595,55,1
L 220-80,16.24403745,0.231983346,-0.905680438,0.002605392,72,0
LTT 524,232.5588562,0.232710567,-0.179158048,0.000373106,37,1
RGO 8,250.0006667,0.232928733,-0.489593944,0.08789176,65,0
LTT 10329,270.2708869,0.234310452,1.200379282,0.145867642,64,0
,22.78636159,0.235183117,-0.481565429,0.01819343,72,0
,17.43117313,0.235474005,0.300080276,0.000870662,72,0
,14.29738763,0.239110108,-0.033452144,0.029102118,61,1
L 123-59,16.70447833,0.240709993,-1.073086602,0.038364584,67,0
,13.95895857,0.244200651,-0.486568707,0.003310383,73.5,1
,17.28081094,0.250600192,-0.421322481,0.028835295,50,1
,19.69350859,0.251327412,0.312937535,0.380171348,55,1
LP 51-17,222.2229722,0.251472856,1.163785545,0.002088663,72,0
LTT 565,370.3708204,0.252418243,-0.420915238,0.124725607,62,1
,20.04839924,0.253945406,-0.437990376,0.031617416,60,1
,10.83792618,0.254018128,1.066541617,0.004741174,72.5,1
,166.6676667,0.254527183,-0.057159533,0.001137249,72,0
,8.67728866,0.2565634,1.246455974,0.006308005,73.5,1
,24.88232315,0.257726953,1.428261105,0.218759843,52,1
,151.5162515,0.257726953,0.940965177,0.000181893,72,0
,11.79272492,0.259181394,-0.451080345,0.015132499,40,0
Wolf 46,8.899789135,0.25939956,1.083413133,0.010277853,65,0
,344.8280695,0.25939956,-0.17194402,0.065454857,65,0
RGO 2913,23.87333321,0.259545004,-0.453232918,0.008707608,72,0
LTT 10369,232.5588562,0.260926723,0.083601271,0.246586987,60,1
U 15,204.0824493,0.261363055,-0.162606509,0.034988758,67,0
Wolf 47,9.035642441,0.262381164,1.083791288,0.000244243,75,1
LP 294-40,227.2734606,0.263835605,0.548295185,0.001569865,72,0
LP 406-76,17.10377099,0.264126493,0.346098791,0.004486263,71.5,1
LP 406-77,17.10377099,0.264126493,0.346098791,0.002883204,73.5,1
,21.37532336,0.26718082,0.083863071,0.001037179,36,1
LTT 606,285.714869,0.270453312,-0.421177037,0.08549635,65,0
,10.01668613,0.272053197,-0.307207037,0.000143157,72,0
LTT 610,23.75998724,0.272125919,-0.667617528,0.401772827,53,2
,12.57609055,0.273943971,0.49264827,0.000165888,72,0
,14.89215828,0.27816185,1.111251135,0.04919668,67,0
,15.78344229,0.279470846,0.261944832,0.005806177,72,0
,21.2844311,0.281797952,-0.885609151,0.113750591,61,0
L 509-35,238.0959381,0.283034227,-0.546404411,0.024429854,72,0
Mu Cassiopeia,7.457408306,0.283325115,0.954258769,0.413029575,55,0
,7.457408306,0.283325115,0.954258769,0.001379938,72,0
Ross 322,22.47932849,0.283325115,0.592277482,0.002013111,73,1
,212.7667408,0.283325115,0.396102474,0.17059343,64,0
,212.7667408,0.283325115,0.396102474,0.001431728,73,1
,131.580214,0.28739755,-0.504894664,0.000648401,75,1
,322.5811618,0.288052049,0.296444173,0.054442487,66,1
Eta Ceti,24.63730984,0.288270215,-0.166737121,22.08340177,61.5,2
LTT 646,476.1908262,0.290524598,-0.537648676,0.452879971,60,0
PS 130,192.308559,0.291397263,-0.402182037,0.0035965,72,1
PS 131,153.8472372,0.291833595,-0.405410896,0.00032198,72,0
Beta Andromeda,20.54199982,0.291979039,0.617090246,55.47350525,70,2
,8.291483009,0.299178523,-1.156833317,0.007176204,72,0
LP 467-16,84.74772941,0.300051187,0.264853714,0.000112669,72,0
LTT 10438,15.49064807,0.302451015,0.081332343,0.001458347,72,0
,15.49064807,0.302596459,0.081041455,0.000569955,72,0
GD 806,101.011751,0.305069009,-0.032783101,0.000205031,72,0
LTT 670,3.784657047,0.305359897,-0.291935406,0.000183576,75,1
LTT 10444,212.7667408,0.306378006,0.722391777,0.483041549,55,1
PS 151,161.2913559,0.309795942,-0.398516846,0.000491856,72,0
,232.5588562,0.313286601,-0.642019365,0.00135475,72.5,1
,17.61510403,0.313650211,-0.136281126,2.376941301,45,0
,17.61510403,0.313504767,-0.136513836,0.195868792,61,0
,23.81652525,0.314959208,-0.730274848,0.199510446,50,0
LTT 692,175.4395465,0.316340927,-0.938696249,0.009815251,73,1
,21.06055033,0.31786809,-1.13405677,0.092885803,60,2
Nu Pheonix,121.9525862,0.3182317,-0.771464618,1.342784388,48,0
,188.6801286,0.319904307,-1.202793654,0.235488212,62,0
,188.6801286,0.319904307,-1.202793654,0.16594406,72,0
,20.62664225,0.321431471,0.420100751,0.000356312,72,0
,238.0959381,0.322449579,0.437554043,0.045701897,65,1
Kappa(2) Tucanae ,19.73231841,0.323249522,-1.201804634,3.467580143,46,2
Kappa(1) Tucanae,19.73231841,0.3231768,-1.201833723,0.457070624,55,1
,13.67340982,0.324194909,1.464127621,0.000201288,72,0
,158.7312087,0.327031069,-0.593819189,0.005914127,72,0
,384.6158179,0.327612845,-0.248534885,0.159941412,63,0
Ross 324,250.0006667,0.327685567,0.495877129,0.012939197,70.5,1
LTT 10470,200.0008333,0.328558232,0.091077098,0.013301723,72,1
Wolf 1516,15.68461958,0.328703676,0.277827328,0.000636566,72,0
,22.18046745,0.330667171,-0.224216631,0.00847029,73,1
Sm 185,333.3338333,0.330812615,-0.830514925,0.023116373,71,1
,256.4109064,0.33204889,-0.015242542,0.359731282,61,0
,256.4109064,0.331976168,-0.015126187,0.029917492,70,1
,178.5723619,0.334739606,1.394372628,0.038012838,68,1
PS 176,243.9031224,0.335975881,-0.442150077,0.002147183,72,0
,416.6670667,0.336703102,0.675878753,0.04206612,70,1
,416.6670667,0.336775824,0.67593693,0.002753432,72,0
LTT 734,250.0006667,0.338012098,-0.458876149,0.001137249,72,0
,416.6670667,0.339030207,0.664475935,0.08393579,68,1
,175.4395465,0.339611984,1.334304213,0.383689204,60,1
,169.4925088,0.34586608,-0.699673408,0.022075915,70.5,1
CFS 3,217.392071,0.347393243,-0.785834496,0.011800634,73,1
LTT 751,217.392071,0.348047742,-0.468591815,0.199510446,62,0
PS 187,217.392071,0.348193186,-0.468330016,0.000474064,72,0
,14.46240683,0.349938515,0.004857833,0.000469717,72,0
LP 587-50,14.46240683,0.349938515,0.004857833,0.000181893,72,0
LTT 10501,151.5162515,0.350520291,0.124878308,0.233329138,55,1
PS 190,222.2229722,0.35081118,-0.452622053,0.002581505,72,0
,227.2734606,0.351465678,-0.222936723,0.325069367,60,2
LP 707-104,227.2734606,0.351320234,-0.223082167,0.031617416,67,1
,227.2734606,0.351320234,-0.223082167,0.002629501,72,0
LFT 132,303.030853,0.358519717,0.318406233,0.322088967,62,1
BPM 47129,169.4925088,0.360919545,-0.573980613,0.030194329,72,0
Wolf 66,149.254848,0.362010376,0.165864457,0.001046776,73.5,1
,185.1860852,0.362301264,-0.449131394,0.000313205,72,0
,181.8190985,0.37670023,0.374664013,0.233329138,62,0
LFT 138,196.0792814,0.393062692,-0.381354442,0.010962353,71.5,1
,14.21628558,0.39655335,-0.411345016,0.285741484,58,0
LTT 840,14.21628558,0.395244354,-0.410239641,0.001367286,72,0
,188.6801286,0.396698795,1.198895752,0.758567286,56,0
LTT 851,238.0959381,0.39829868,-0.765181433,0.359731282,60,1
,24.51660524,0.399607677,0.600800506,0.079422948,48,1
,24.63730984,0.404261888,0.729314917,0.021277369,70,1
,172.4147598,0.404480054,-0.520689894,0.199510446,63,0
,172.4147598,0.404480054,-0.520689894,0.16594406,64,0
,172.4147598,0.404480054,-0.520689894,0.01819343,72,0
PS 244,196.0792814,0.408843377,-0.470657122,0.001555472,72,0
50 Upsilon Andromeda,17.43117313,0.409497876,0.718319342,6.138166732,48,0
,277.7783778,0.413715755,-0.494859021,0.373232102,60,0
,11.08926145,0.415024752,0.994517697,0.003563525,73,1
CFS 445,212.7667408,0.415606528,-0.847444618,0.023983937,67,1
L 870-002,12.29858945,0.416406471,-0.082990406,0.000963501,37,1
,400.0004167,0.416842803,0.773791724,0.064260113,68,1
,185.1860852,0.418442688,0.006894051,0.007176204,72,0
LDS 838,2.691279721,0.420697072,-0.310464985,5.65E-05,75.5,1
UV Ceti ,2.691279721,0.420697072,-0.310464985,5.01E-05,75.5,1
Rob  72,243.9031224,0.422878733,0.083833982,0.003836025,75,1
LTT 17245,163.9354429,0.424987673,0.550447757,0.000636566,72,0
,15.30142532,0.42593306,-0.789557865,0.023116373,70,1
,13.05060176,0.426078504,1.109331273,0.013800941,25,1
LFT 148,322.5811618,0.42702389,1.163465568,0.765586569,55,0
P Eridani,6.740797732,0.427169334,-0.969559488,0.188783686,62,0
,6.740797732,0.427169334,-0.969559488,0.172171989,63,0
,13.69208149,0.430805437,0.739379649,1.706127128,51.5,0
,172.4147598,0.432623488,-1.444609022,1.148161408,52,0
,18.91241123,0.434005207,-0.773675369,0.059147953,55,0
,7.926261101,0.435386926,0.349531272,0.444613578,61,0
,13.32810414,0.437204978,1.109680338,0.066671814,65,0
PS 274,243.9031224,0.43764131,-0.403461945,0.008089046,72,0
LTT 10602,192.308559,0.438150364,0.481565429,0.022280191,67,1
BS 506,188.6801286,0.438804863,-0.907745744,1.923153461,48,0
LFT 157,250.0006667,0.439604805,-0.725126127,0.017215253,70,1
,8.806341584,0.439677527,0.071238522,0.002856769,72,1
GR 316,222.2229722,0.442804576,-0.417046425,0.002088663,72,0
LFT 158,126.5835952,0.44331363,-1.160003999,0.00039069,37,1
Tau Ceti,3.544628996,0.443968128,-0.275762022,0.428530696,58,0
Wolf 1530,16.35007374,0.446367956,0.28099801,0.000529467,73,1
,250.0006667,0.453640161,0.212290215,0.149954517,68,1
,10.30428372,0.454221938,1.11014576,0.515211873,60,0
LP 70,175.4395465,0.454221938,-0.123976555,0.001705549,73,1
Wolf 87,178.5723619,0.459385204,0.3658501,0.003800854,73,1
,434.782992,0.45960337,-0.436419579,0.420708748,61,0
LTT 10624,204.0824493,0.461930475,0.566155721,1.753928873,48,0
,270.2708869,0.463384916,-0.70258229,0.887150798,54,0
,250.0006667,0.467457351,-0.158243186,7.379766285,43,2
,250.0006667,0.466584687,-0.157952297,1.066599497,51,1
LTT 10634,256.4109064,0.470075345,0.315002841,0.028835295,70,1
,149.254848,0.472111563,1.120326847,0.005494005,72,1
,149.254848,0.472111563,1.120268669,0.000316103,36,1
,100.0016667,0.473566004,-0.098378392,0.000125837,72,0
Wolf 90,178.5723619,0.474002336,0.369166226,0.000765327,74,1
GD 279,163.9354429,0.475311333,0.815999603,0.002465313,33,1
Ross 555,11.64225269,0.47698394,-0.191229908,0.002248382,73.5,1
Alpha Triangulum,18.73549472,0.480910931,0.512021425,13.06335659,46,2
,238.0959381,0.481565429,1.150724665,0.199510446,55,1
,11.96139271,0.481783596,-0.372075108,0.03435011,70,0
Beta Aries,16.95898987,0.488110414,0.358926961,22.08340177,35,0
Chi Eridani,18.25731172,0.497491559,-0.875166265,9.639362267,55,2
,18.25731172,0.497491559,-0.875166265,0.015132499,72,0
LTT 1036,303.030853,0.500545885,-0.166097167,2.187845701,55,2
LTT 1039,303.030853,0.500691329,-0.165980812,0.026297983,72,0
,175.4395465,0.501200384,-1.038936326,0.097263596,65,0
,250.0006667,0.502218492,-0.9073385,1.977035784,48,0
Ross 15,12.75194625,0.505709151,1.017206977,0.001852959,74,1
,196.0792814,0.506872704,0.575464143,0.465568623,57,1
,107.5284317,0.508763477,0.057159533,0.004091502,72,0
LP 589-9,107.5284317,0.508763477,0.057159533,0.00026292,72,0
,243.9031224,0.51029064,0.75956729,0.003249959,72,0
,250.0006667,0.511163305,0.635707091,0.001458347,72,0
Alpha Hydrus,25.25912646,0.511381471,-1.050455499,39.8179173,40,0
LP 30-55,105.2647412,0.512326858,1.279355431,0.000216681,72,0
L 1159-016,4.505794362,0.512545024,0.224013009,0.000212726,78,1
,100.0016667,0.514581241,1.108807674,0.003371931,74,1
LP 709-16,238.0959381,0.516399292,-0.164206394,0.001147772,72,0
Wolf 109,384.6158179,0.52127167,0.064606271,0.073104521,64,1
LTT 10690 ,384.6158179,0.52127167,0.064664449,0.013800941,71.5,1
USNO 693,8.947265449,0.521926168,0.176278254,3.94E-05,72,0
LTT 10691,172.4147598,0.523671498,0.232797833,0.000505636,75,1
,128.2064282,0.527162156,0.617002979,0.064854734,55,1
LTT 1081,129.8714132,0.528034821,-0.358432451,0.00501057,73,1
,270.2708869,0.531961812,-0.773995346,0.758567286,53,0
,270.2708869,0.531961812,-0.773995346,0.01659253,72,0
,217.392071,0.532107256,-0.032928545,0.001147772,72,0
,238.0959381,0.534870694,-0.245800536,0.380171348,60,0
L 727-32,8.494274933,0.535016138,-0.281841585,0.005246722,73,1
L 583-53,212.7667408,0.537197799,-0.483223492,0.016901024,70.5,1
LP 885-12,212.7667408,0.537270521,-0.483485292,0.002991411,73.5,1
,208.3341333,0.538361352,1.117912475,0.00071096,72,0
LFT 180,153.8472372,0.539452183,-0.51632657,0.002856769,73.5,1
,18.0924026,0.540179403,0.784583676,0.022075915,70,1
,18.0924026,0.540179403,0.784583676,0.00060234,72,0
Alpha Aries,21.4669961,0.542579231,0.405381808,63.6925379,62,2
LTT 1107,312.5005333,0.545560835,0.014835299,1.47234046,52,0
LTT 1106,312.5005333,0.545415391,0.014486233,0.052473154,64,1
,142.8583095,0.548178829,0.85899288,0.001819137,75,1
LP 1-52,204.0824493,0.549415104,1.538798624,0.002534385,72,0
L 89-027,204.0824493,0.549487826,-1.137751051,0.008951575,72,0
LTT 1117,250.0006667,0.553123929,-0.269100682,0.022694431,67,1
Ross 17,22.27920002,0.554651092,0.614355897,0.001379938,73,1
LFT 185,158.7312087,0.554869258,-0.234048653,0.004167573,73,1
Rob 115,111.1126111,0.556541865,0.197222205,0.000870662,74,1
,16.90176259,0.559450747,0.692779358,0.000387108,72,0
LTT 1130,11.20059623,0.560323412,-0.888925277,0.387239612,60,0
,11.54848806,0.566577508,0.058759418,0.010962353,72.5,1
Eta Aries,232.5588562,0.567232007,0.366111899,3.664609351,45,0
LFT 188,178.5723619,0.567377451,-1.091412559,0.00349848,72,0
ADS 1703,294.1182137,0.568250116,-0.023969188,4.055364035,48,0
,294.1182137,0.568177394,-0.023911011,0.602544603,55,0
,166.6676667,0.568613726,0.004014257,0.000954667,72,0
LP 769-90,250.0006667,0.569195502,-0.280590766,0.01994879,70,1
Mu Fornax,15.88352074,0.570286333,-0.506872704,1.659628176,32,0
LTT 1141,212.7667408,0.57086811,-0.359072405,0.044048735,67,0
,142.8583095,0.574140602,1.177108225,0.258208858,62,0
,9.234698062,0.574504212,-0.553851149,0.005494005,72.5,1
,21.10494848,0.576976762,0.300051187,0.000648401,72,0
LTT 17342,172.4147598,0.578503925,0.588786823,0.000954667,72,0
GD  25,222.2229722,0.581194641,0.691615805,0.000654401,36,1
LTT 1159,227.2734606,0.581921861,-0.193586103,0.002883204,73,1
ADS 1733,227.2734606,0.582140028,-0.305956218,0.19229361,63,0
,227.2734606,0.582140028,-0.305956218,0.104701257,72,0
,19.65485132,0.583667191,0.7460119,0.000111636,72,0
USNO 694,8.479969045,0.583739913,0.233321432,3.02E-05,72,0
Delta Triangulum,10.21004829,0.584685299,0.593353768,1.018592309,50,0
LP 245-10,10.36808442,0.585267076,0.614617696,3.77E-05,72,0
LFT 200,113.6378303,0.586648795,-0.537154166,0.001819137,74,1
LFT 199,113.6378303,0.586212463,-0.537503232,0.000549338,74,1
,243.9031224,0.588466846,0.983202145,0.255841469,61,0
L 1592-001,222.2229722,0.589048623,0.768643003,0.001659066,73,1
,13.67340982,0.592684725,-0.938550805,0.004363994,72,0
Ross 19,18.25731172,0.593411946,0.613105077,0.00277891,73.5,1
LTT 10787,212.7667408,0.594211888,0.412799457,0.000846933,72,0
,12.43578707,0.596611716,-0.450614924,0.390822872,55,0
,151.5162515,0.597702547,-0.645510024,0.004569673,73,1
LTT 17347,250.0006667,0.599302432,0.655603845,0.004611958,72,0
LP 245-18,250.0006667,0.599302432,0.655603845,0.000114764,72,0
,21.60599074,0.60206587,0.639895881,0.000972416,72,0
